Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2018,BX26,Highbridge,22,21516.0764,39140,55.8,31.1,14.8,6.3,39706,1
2010,BK25,Homecrest,42,6745.975103,39165,50.4,38.2,31,4,66362,0
2018,QN76,Baisley Park,33,2142.211608,39203,52.6,36.8,19,5.6,84877,1
2018,BX07,Bronxdale,39,5350.210649,39423,50.6,35.8,17.5,7.7,50720,1
2010,BX43,Norwood,30,7114.95037,39441,52.8,31.3,16,6.3,50816,0
2010,BX63,West Concourse,47,30598.5956,39711,51.2,30.3,9.2,7.2,40657,0
2010,MN24,SoHo-TriBeCa-Civic Center-Little Italy,84,30950.47942,39918,51.1,34.6,69.5,4.2,208281,0
2010,BK63,Crown Heights South,16,14678.11302,40236,53.8,32,22.2,8,58450,0
2018,QN21,Middle Village,47,27664.50035,40435,53.3,42.9,33.8,3,96352,1
2018,BK63,Crown Heights South,23,18191.89375,40451,52.7,32.7,34.8,5.4,71827,1
2010,SI05,New Springville-Bloomfield-Travis,30,8015.359616,40679,53,40.4,32.5,3.3,105119,0
2010,MN22,East Village,54,19859.93077,40774,50.2,33.5,66.4,4.5,98674,0
2010,BK33,Carroll Gardens-Columbia Street-Red Hook,39,50006.24125,40858,52.6,34.9,58.4,5,121349,0
2018,BX35,Morrisania-Melrose,36,17514.85567,40925,53.3,32.4,13.8,6.4,47047,1
2018,BK44,Madison,48,9863.457207,40958,50.7,40.7,40.8,2.9,90492,1
2010,SI54,Great Kills,24,0,41033,51.6,41.3,28.9,3.4,113061,0
2010,BX17,East Tremont,28,3929.434436,41102,54.7,29,11,6.8,37146,0
2018,QN12,Hammels-Arverne-Edgemere,13,36337.17245,41470,54,34.9,21.8,6.7,63787,1
2018,SI05,New Springville-Bloomfield-Travis,43,23306.28192,41936,52.7,40.7,33.7,2.7,102974,1
2018,BX43,Norwood,41,7974.562299,42227,52.7,32.6,20.3,7.7,48141,1
2018,SI54,Great Kills,43,0,42306,52.5,43.2,35.2,3.6,107248,1
2010,BK30,Dyker Heights,40,5384.946695,42516,50.4,39.9,23.7,8.6,78547,0
2018,MN22,East Village,109,29864.92561,42529,48,32.1,70.7,3.7,118140,1
